headline,date,doc_type,material_type,section,keywords
"Alisa Rashish, John Segal: A Life of Bicycles, Built for Two",2015-08-02,article,News,,['Weddings and Engagements']
Quotation of the Day,2015-08-02,article,Quote,,[]
"Corrections: August 2, 2015",2015-08-02,article,News,,[]
Why Some Start-Ups Are Called Tech Companies and Others Are Not,2015-08-02,article,News,,['Start-ups']
Copwatch vs. Cops: After Freddie Gray,2015-08-02,multimedia,Video,,"['Police Brutality, Misconduct and Shootings', 'Video Recordings, Downloads and Streaming', 'Social Media', 'Cameras']"
Six Things Google Remembers About My Parenting That I’d Almost Forgotten,2015-08-02,article,News,,"['Babies and Infants', 'Computers and the Internet', 'Parenting', 'Pregnancy and Childbirth']"
The Rising Cost of Manufacturing,2015-08-02,multimedia,Interactive Feature,,['Factories and Manufacturing']
"Along With Babies, Hairstylists Are Arriving in Hospitals",2015-08-02,article,News,,"['Pregnancy and Childbirth', 'Beauty Salons', 'Photography', 'Hair']"
Chinese Textile Mills Are Now Hiring in Places Where Cotton Was King,2015-08-02,article,News,,"['Textiles', 'Factories and Manufacturing', 'Trans-Pacific Partnership', 'International Trade and World Market', 'Cotton']"
Your Weekend Briefing,2015-08-02,article,News,,[]
Your Weekend Briefing,2015-08-02,multimedia,Slideshow,,[]
A Peek Inside Universal Studios,2015-08-02,multimedia,Slideshow,,[]
"Comcast Invests by the Billion in Theme Parks, Hogwarts and All",2015-08-02,article,News,,['AMUSEMENT AND THEME PARKS']
Suicide Attack by Kurdistan Worker’s Party Members in Turkey Kills 2 Soldiers,2015-08-02,article,News,,"['Kurds', 'Terrorism', 'Defense and Military Forces', 'Deaths (Fatalities)']"
1940: Freemasonry to Be Outlawed by Pétain’s Regime,2015-08-02,article,News,,"['Holocaust and the Nazi Era', 'World War II (1939-45)']"
‘Getting to the Sky’,2015-08-02,multimedia,Slideshow,,"['Mountaineering', 'Running']"
9 Injured in Shooting in Brooklyn,2015-08-02,article,News,,"['Murders, Attempted Murders and Homicides']"
Copwatch vs. Cops: After Freddie Gray,2015-08-02,article,News,,"['Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'Blacks', 'Black People', 'Video Recordings, Downloads and Streaming', 'Cameras']"
"Stephen Harper of Canada, Hoping to Extend Conservatives’ Hold, Calls Elections",2015-08-02,article,News,,"['Campaign Finance', 'Elections']"
1965: Fists Fly in Athens Assembly,2015-08-02,article,News,,"['Assaults', 'Legislatures and Parliaments']"
‘Hannibal’ Recap: Always Room for a Few More Scars,2015-08-02,article,News,,['Television']
Iran Capitalizing on a Taste for America’s Biggest Brands,2015-08-02,article,News,,"['Fast Food Industry', 'Restaurants', 'Embargoes and Sanctions']"
