headline,date,doc_type,material_type,section,keywords
A Vicious Cycle of Imprisonment,2014-06-01,article,Letter,,"['Prisons and Prisoners', 'Mental Health and Disorders']"
That College Degree: More Valuable Than Ever,2014-06-01,article,Letter,,"['Colleges and Universities', 'Labor and Jobs', 'Wages and Salaries', 'United States Economy']"
Baiting Bike Thieves,2014-06-01,article,Letter,,"['Bicycles and Bicycling', 'Robberies and Thefts', 'Crime and Criminals', 'Police']"
Nutritious School Lunches,2014-06-01,article,Letter,,"['Lunch and Breakfast Programs', 'Children and Childhood', 'Diet and Nutrition', 'Law and Legislation', 'Education (K-12)']"
Amazon Absorbing Price Fight Punches,2014-06-01,article,News,,"['Book Trade and Publishing', 'BookExpo America', 'Books and Literature', 'Writing and Writers', 'Antitrust Laws and Competition Issues', 'Prices (Fares, Fees and Rates)', 'Regulation and Deregulation of Industry', 'E-Books and Readers']"
Amazon and a Mattel Unit Plan a ‘Content Hub’ Focusing on Children,2014-06-02,article,News,,"['Toys', 'Television', 'E-Commerce', 'ADVERTISING AND MARKETING', 'Children and Childhood', 'Online Advertising', 'Cartoons and Cartoonists']"
"Lee Chamberlin, ‘Electric Company’ Actress, Dies at 76",2014-06-02,article,Obituary (Obit),,"['Television', 'Deaths (Obituaries)']"
A Verdict on Budgets in Europe and Jobs Data in U.S.,2014-06-02,article,News,,"['United States Economy', 'Labor and Jobs', 'Unemployment', 'Automobiles', 'Interest Rates']"
Treasury Auctions Set for the Week of June 2,2014-06-02,article,News,,"['Stocks and Bonds', 'Credit and Debt', 'Education (K-12)', 'Income Tax', 'Government Bonds', 'Auctions']"
The Vanishing Cry of ‘Repeal It’,2014-06-02,article,Editorial,,"['Patient Protection and Affordable Care Act (2010)', 'Health Insurance and Managed Care', 'United States Politics and Government', 'Editorials']"
Emerging From the Shadows Cast Across a River,2014-06-02,article,News,,"['Radio', 'Colleges and Universities', 'Music']"
Israel Warns Against Embracing Newly Reconciled Palestinian Government,2014-06-02,article,News,,['Palestinians']
"With South Bronx Trail, a History and a Culture Will Be Clearly Marked",2014-06-02,article,News,,['Culture (Arts)']
Popular Demand,2014-06-02,multimedia,Interactive Feature,,"['Basketball', 'NBA Championship']"
"In GPS Battle, Russia Sets Restrictions of Its Own",2014-06-02,article,News,,['Global Positioning System']
On Inequality Denial,2014-06-02,article,Op-Ed,,"['Income Inequality', 'Books and Literature']"
"Ann B. Davis, 88, Dies; Comic Actress Played Maid on ‘Brady Bunch’",2014-06-02,article,Obituary (Obit),,"['Television', 'Deaths (Obituaries)']"
Lewis Katz’s Vision for the New Jersey Nets Went Unrealized,2014-06-02,article,News,,['Basketball']
Bad Food in School Cafeterias,2014-06-02,article,Editorial,,"['Diet and Nutrition', 'Lunch and Breakfast Programs', 'Education (K-12)', 'United States Politics and Government', 'Editorials']"
A Vote on Medical Marijuana,2014-06-02,article,Editorial,,"['Medical Marijuana', 'State Legislatures', 'Law and Legislation', 'Editorials']"
"As Antics Subside, Both Cuomo and the Left Claim the Last Hurrah",2014-06-02,article,News,,"['Endorsements', 'Elections, State Legislature', 'Politics and Government', 'Elections, Governors']"
Encouragement (Sort of) About Press Freedom,2014-06-02,article,Editorial,,"['News Sources, Confidential Status of', 'Freedom of the Press', 'Editorials', 'News and News Media']"
"Yes, All Men",2014-06-02,article,Op-Ed,,"['Women and Girls', 'Discrimination', ""Women's Rights"", 'Murders and Attempted Murders']"
Insider-Trading Inquiry Could Rattle Icahn’s Efforts to Shape His Legacy,2014-06-02,article,News,,"['Hedge Funds', 'Insider Trading', 'Securities and Commodities Violations', 'Shareholder Rights and Activism']"
"Scots Are Divided Over Independence, and Its Economic Costs",2014-06-02,article,News,,"['Referendums', 'Economic Conditions and Trends']"
"Pitching for Fun, and for a Future",2014-06-02,article,News,,['Baseball']
"Winning Lottery Numbers for June 1, 2014",2014-06-02,article,List,,['Lotteries']
Trying to Reclaim Leadership on Climate Change,2014-06-02,article,News Analysis,,"['Global Warming', 'Greenhouse Gas Emissions', 'Natural Gas', 'Coal']"
"At Ukraine’s Perilous Border, Law Is Dispensed by Men in Masks",2014-06-02,article,News,,[]
"With Mixed Showing, U.S. Gives Its Coach a Win to Study",2014-06-02,article,News,,"['World Cup 2014 (Soccer)', 'Soccer']"
Visitors Fault Sept. 11 Museum’s Portrayal of Islam,2014-06-02,article,News,,"['Muslims and Islam', 'Terrorism', 'September 11 (2001)']"
Experience at Muirfield Helps a 22-Year-Old Win in a Playoff for His First PGA Title,2014-06-02,article,News,,"['Golf', 'PGA Championship']"
Census Records Shed a New Light on Some of the Mayor’s Forebears,2014-06-02,article,News,,"['Population', 'Census', 'Immigration and Emigration']"
At Least 13 Are Wounded by Gunfire Across New York City,2014-06-02,article,News,,"['Murders and Attempted Murders', 'Assaults']"
Will the Kingdom Stay United?,2014-06-02,multimedia,Slideshow,,['Economic Conditions and Trends']
Underdog Seeks Jump From Second to Spoiler,2014-06-02,article,News,,"['Horse Racing', 'Belmont Stakes', 'Curlin (Race Horse)', 'Triple Crown (Horse Racing)']"
"Rangers, Despite Odds, Have a Lot in Their Favor",2014-06-02,article,News,,"['Hockey, Ice', 'Stanley Cup']"
"Before Brief, Deadly Spree, Trouble Since Age 8",2014-06-02,article,News,,"['Isla Vista, Calif, Massacre (2014)', 'Mental Health and Disorders', 'Murders and Attempted Murders']"
Etihad Nears Deal for a Stake in Alitalia,2014-06-02,article,News,,"['Mergers, Acquisitions and Divestitures', 'AIRLINES AND AIRPLANES', 'European Sovereign Debt Crisis (2010- )']"
"An Ideal Place, Except for All the Dead Bodies",2014-06-02,article,Review,,['Theater']
Women’s Hats on a Harlem Bus,2014-06-02,article,News,,"['Buses', 'Hats and Caps']"
Countdown to 2014 World Cup in Brazil: Day 11,2014-06-02,article,News,,"['World Cup 2014 (Soccer)', 'Soccer', 'Sports Injuries']"
Prisoner Trade Yields Rare View Into the Taliban,2014-06-02,article,News,,"['Terrorism', 'Prisoners of War', 'Afghanistan War (2001- )']"
"Trial Begins for Queens Democrat Charged With Bribery, Extortion and Fraud",2014-06-02,article,News,,"['Frauds and Swindling', 'Elections, Mayors', 'Bribery and Kickbacks']"
"Next Move for Fisher: Coaching, or Maybe Politics",2014-06-02,article,News,,['Basketball']
Planned Celebration for Sgt. Bowe Bergdahl Just Got a Whole Lot Bigger,2014-06-02,article,News,,"['Prisoners of War', 'Afghanistan War (2001- )']"
Panel to Create Plan to Reduce Number of Mentally Ill People in New York City Jails,2014-06-02,article,News,,"['Mental Health and Disorders', 'Prisons and Prisoners', 'Hospitals']"
Drama Desk Embraces ‘A Gentleman’s Guide’,2014-06-02,article,Brief,,"['Theater', 'Drama Desk Awards']"
K.K.R. Shuts Stock Hedge Fund,2014-06-02,article,News,,"['Hedge Funds', 'Private Equity']"
Is Global Warming Real? Most Americans Say Yes,2014-06-02,article,News,,"['Greenhouse Gas Emissions', 'Polls and Public Opinion', 'Global Warming']"
Major Malfunction: Revisiting Challenger,2014-06-02,multimedia,Video,,"['Space and Astronomy', 'Accidents and Safety', 'Challenger (Space Shuttle)', 'Columbia (Space Shuttle)', 'Explosions (Accidental)', 'Space Shuttles']"
"Challenger, Columbia and the Nature of Calamity",2014-06-02,article,News,,"['Columbia (Space Shuttle)', 'Challenger (Space Shuttle)', 'Accidents and Safety', 'Space and Astronomy']"
"Boy, 6, Dies After a Stabbing in Brooklyn",2014-06-02,article,News,,"['Children and Childhood', 'Murders and Attempted Murders']"
"With Ukraine Still Unsettled, Obama Sets Off to Soothe European Friends",2014-06-02,article,News,,['United States International Relations']
‘Halt and Catch Fire’ Recap: Can Geekiness Be Entertaining?,2014-06-02,article,News,,"['Computers and the Internet', 'Engineering and Engineers']"
‘Penny Dreadful’ Recap:  Blood and Gore Are so Entertaining,2014-06-02,article,News,,['Television']
"Kings Go the Distance, and Then Some, to Reach the Finals",2014-06-02,article,News,,"['Hockey, Ice', 'Stanley Cup']"
"Player Ratings: U.S. 2, Turkey 1",2014-06-02,article,News,,"['World Cup 2014 (Soccer)', 'Soccer']"
"With New Palestinian Government Come Many Questions, and Some Answers",2014-06-02,article,Question,,['Palestinians']
New Therapies for Bowel Diseases,2014-06-02,article,News,,"['Bowels', ""Crohn's Disease"", 'Digestive Tract', 'Medicine and Health']"
"After Interruption, No Stopping Sharapova at French Open",2014-06-02,article,News,,"['Tennis', 'French Open (Tennis)']"
Study Examines Efficacy of Taxes on Sugary Drinks,2014-06-02,article,News,,"['Soft Drinks', 'Taxation', 'Sugar', 'Calories', 'Weight', 'Law and Legislation', 'Research', 'Diet and Nutrition', 'Children and Childhood']"
Word of the Day | annotate,2014-06-02,article,News,,[]
"Quotation of the Day for Monday, June 2, 2014",2014-06-02,article,Quote,,[]
Tales of Army Discord Show Tiananmen Square in a New Light,2014-06-02,article,News,,"['Demonstrations, Protests, and Riots']"
What’s On Monday,2014-06-02,article,Schedule,,[]
"Corrections: June 2, 2014",2014-06-02,article,News,,[]
Anger in China After McDonald’s Patron Beaten to Death,2014-06-02,article,News,,"['Murders and Attempted Murders', 'Religious Cults']"
China’s Solar Panel Production Comes at a Dirty Cost,2014-06-02,article,News,,"['Factories and Manufacturing', 'Greenhouse Gas Emissions', 'Solar Energy']"
Marathon Oil Sells Norwegian Unit for $2.1 Billion,2014-06-02,article,News,,"['Mergers, Acquisitions and Divestitures', 'Oil (Petroleum) and Gasoline']"
"As Poles Focus on Belonging to Europe, Their Love for the U.S. Has Cooled a Bit",2014-06-02,article,News,,['United States International Relations']
Roche to Pay Up to $350 Million for DNA Sequencing Business,2014-06-02,article,News,,"['DNA (Deoxyribonucleic Acid)', 'Mergers, Acquisitions and Divestitures']"
"6 Q’s About the News | Bowe Bergdahl, American Soldier, Freed by Taliban in Prisoner Trade",2014-06-02,article,News,,[]
"A River Changes Young Women’s Photography, and Their Lives",2014-06-02,article,News,,"['Photography', 'Rivers', 'Women and Girls']"
Are Your Parents Too Overprotective?,2014-06-02,article,News,,[]
GlaxoSmithKline in $350 Million Cancer Drug Venture,2014-06-02,article,News,,"['Biotechnology', 'Cancer', 'Drugs (Pharmaceuticals)', 'Mergers, Acquisitions and Divestitures']"
"A King Makes a Powerful Change, for Stability",2014-06-02,article,News,,[]
Coal Comfort,2014-06-02,article,News,,[]
Behind the Cover Story: Scott Anderson on the Lasting Pain of Conflict in Srebrenica,2014-06-02,article,News,,"['War Crimes, Genocide and Crimes Against Humanity']"
"For Bonds, This Time is Different",2014-06-02,article,News,,[]
Your Monday Briefing,2014-06-02,article,News,,[]
New York Today: June Is for Hockey Heroes,2014-06-02,article,News,,[]
Separatists Attack a Border Guard Headquarters in Eastern Ukraine,2014-06-02,article,News,,['Defense and Military Forces']
Q. and A.: Chen Guang on the Soldiers Who Retook Tiananmen Square,2014-06-02,article,News,,"['Demonstrations, Protests and Riots', 'Martial Law']"
"Celebration, and Lingering Tensions, as India’s 29th State Is Born",2014-06-02,article,News,,[]
Pinpointing Another Reason That More Hispanics Are Identifying as White,2014-06-02,article,News,,"['Race and Ethnicity', 'Census', 'Hispanic-Americans', 'Polls and Public Opinion', 'Population']"
Calling an Ordinary Health Problem a Disease Leads to Bigger Problems,2014-06-02,article,News,,"['Babies and Infants', 'Parenting', 'Drugs (Pharmaceuticals)', 'Medicine and Health']"
Japan’s Dai-ichi Life to Consider Investments in United States,2014-06-02,article,News,,"['Life Insurance', 'Mergers, Acquisitions and Divestitures', 'Stocks and Bonds']"
A Question of Family Ties Between G.E. and Alstom Law Firm,2014-06-02,article,News,,['Conflicts of Interest']
What We’re Reading,2014-06-02,article,News,,"['Books and Literature', 'Computers and the Internet', 'Newspapers', 'Robberies and Thefts']"
Gay Travel: Normalcy Becomes the Story,2014-06-02,article,News,,"['Homosexuality and Bisexuality', 'Hotels and Travel Lodgings', 'Travel and Vacations']"
A Chief Executive Who Programs Turns in His Keyboard,2014-06-02,article,News,,"['Careers and Professions', 'Hiring and Promotion', 'Small Business']"
"What’s Going On in This Picture? | June 2, 2014",2014-06-02,article,News,,[]
Brazilian Bank Predicts World Cup Winner,2014-06-02,article,News,,"['Soccer', 'World Cup 2014 (Soccer)']"
"Daily Report: At WWDC, Apple Expected to Expand Into Health and Home Monitoring",2014-06-02,article,News,,"['Home Appliances', 'Mobile Applications', 'Wearable Computing']"
Ventas to Buy American Realty Capital Healthcare for $2.6 Billion,2014-06-02,article,News,,"['Mergers, Acquisitions and Divestitures', 'Real Estate and Housing (Residential)', 'Real Estate Investment Trusts']"
New System for Treating Cancer Seen as Hopeful,2014-06-02,article,News,,"['Cancer', 'Drugs (Pharmaceuticals)', 'Melanomas', 'Clinical Trials', 'Immune System', 'Bladder Cancer', 'Lung Cancer', 'Skin Cancer']"
In Our Pages: June 3,2014-06-02,article,News,,"['Elections', 'Weather', 'Wines']"
Morning Agenda: Big Names in Insider Trading Case,2014-06-02,article,News,,[]
Starboard Urges Changes at MeadWestvaco,2014-06-02,article,News,,['Hedge Funds']
Answers to Questions About the New Palestinian Government,2014-06-02,article,Question,,['Palestinians']
The News in Washington: Critics Respond to Carbon Emissions Plan,2014-06-02,article,News,,[]
"With Hope for Unity, Abbas Swears In a New Palestinian Government",2014-06-02,article,News,,['Palestinians']
Endurance Raises Bid for Aspen Insurance and Vows Proxy Fight,2014-06-02,article,News,,"['Mergers, Acquisitions and Divestitures']"
The Find | Fit for a King,2014-06-02,article,News,,"['Computers and the Internet', 'Shopping and Retail']"
Mississippi Primary Fight Is One of Geography as Well as Ideology,2014-06-02,article,News,,"['Tea Party Movement', 'Race and Ethnicity', 'Primaries and Caucuses']"
"Reflections on Lewis Katz, a Believer in Journalism",2014-06-02,article,News,,['Newspapers']
‘Game of Thrones’ Recap: Mountain Meets Viper,2014-06-02,article,News,,['Television']
"Taking Page From Health Care Act, Obama Climate Plan Relies on States",2014-06-02,article,News,,"['Greenhouse Gas Emissions', 'Coal', 'Global Warming', 'Regulation and Deregulation of Industry', 'United States Politics and Government', 'States (US)']"
2 Private Equity Firms in Talks for Medical Device Maker,2014-06-02,article,News,,"['Mergers, Acquisitions and Divestitures', 'Private Equity']"
Broadcom Explores Options for Its Baseband Business,2014-06-02,article,News,,"['Cellular Telephones', 'Wireless Communications']"
Supreme Court Rejects Appeal From Times Reporter Over Refusal to Identify Source,2014-06-02,article,News,,"['News Sources, Confidential Status of', 'Freedom of the Press', 'Books and Literature']"
Time to Bid for Lunch With Buffett,2014-06-02,article,News,,['Philanthropy']
New Goal for Emissions,2014-06-02,multimedia,Interactive Feature,,[]
E.U. Officials Urge France and Italy to Accelerate Economic Reforms,2014-06-02,article,News,,['European Sovereign Debt Crisis (2010- )']
CFDA Show Spotlights Familiar Faces,2014-06-02,article,News,,['Fashion and Apparel']
"After Boy and Girl Are Stabbed, Anger Over a Lack of Cameras",2014-06-02,article,News,,"['Murders and Attempted Murders', 'Cameras', 'Security and Warning Systems']"
Podcast: Google Glass Operation,2014-06-02,audio,,,['Surgery and Surgeons']
